Season,Race,Overtakes,TV,Percentage,raceId,circuitId,name_x,url,weather_description,weather
2004,Italy,48,13,27.08,104,14,Italian Grand Prix,http://en.wikipedia.org/wiki/2004_Italian_Grand_Prix,"Wet track at the start, dry later on",Wet
2004,China,22,11,50.0,105,17,Chinese Grand Prix,http://en.wikipedia.org/wiki/2004_Chinese_Grand_Prix,Sunny with temperatures reaching up to 27 °C (81 °F)[1],Dry
2004,Japan,30,11,36.67,106,22,Japanese Grand Prix,http://en.wikipedia.org/wiki/2004_Japanese_Grand_Prix,Sunny,Dry
2004,Brazil,58,12,20.69,107,18,Brazilian Grand Prix,http://en.wikipedia.org/wiki/2004_Brazilian_Grand_Prix,Dry/Wet,Wet
2003,Australia,49,14,28.57,108,1,Australian Grand Prix,http://en.wikipedia.org/wiki/2003_Australian_Grand_Prix,"Damp at beginning, dry later, cloudy, mild",Dry
2003,Malaysia,21,9,42.86,109,2,Malaysian Grand Prix,http://en.wikipedia.org/wiki/2003_Malaysian_Grand_Prix,"Fine, air temperature 34°C (93°F)",Dry
2003,Brazil,52,22,42.31,110,18,Brazilian Grand Prix,http://en.wikipedia.org/wiki/2003_Brazilian_Grand_Prix,Rainy: 20 °C (68 °F),Wet
2003,San Marino,3,1,33.33,111,21,San Marino Grand Prix,http://en.wikipedia.org/wiki/2003_San_Marino_Grand_Prix,Mostly cloudy with maximum ambient temperatures reaching 13 degrees during the day.,Dry
2003,Spain,22,9,40.91,112,4,Spanish Grand Prix,http://en.wikipedia.org/wiki/2003_Spanish_Grand_Prix,Clear,Dry
2003,Austria,14,5,35.71,113,70,Austrian Grand Prix,http://en.wikipedia.org/wiki/2003_Austrian_Grand_Prix,Mostly cloudy with isolated showers in the area,Wet
2003,Monaco,0,0,0.0,114,6,Monaco Grand Prix,http://en.wikipedia.org/wiki/2003_Monaco_Grand_Prix,"Sunny at start, cloudy later",Dry
2003,Canada,9,3,33.33,115,7,Canadian Grand Prix,http://en.wikipedia.org/wiki/2003_Canadian_Grand_Prix,Partly cloudy and mild with temperatures reaching a maximum of 19.3 °C (66.7 °F)Wind speeds up to 12.9 km/h (8.0 mph)[1]Track 32 °C (90 °F)[2],Dry
2003,Europe,9,4,44.44,116,20,European Grand Prix,http://en.wikipedia.org/wiki/2003_European_Grand_Prix,Mostly cloudy with maximum ambient temperatures reaching 25 degrees celsius during the day.,Dry
2003,France,10,3,30.0,117,8,French Grand Prix,http://en.wikipedia.org/wiki/2003_French_Grand_Prix,"Cloudy, Air: 26 °C (79 °F), Track 35 °C (95 °F)",Dry
2003,Great Britain,51,29,56.86,118,9,British Grand Prix,http://en.wikipedia.org/wiki/2003_British_Grand_Prix,"Sunny at start, cloudy later, Air: 24 °C (75 °F), Track 29 °C (84 °F)[1]",Dry
2003,Germany,11,8,72.73,119,10,German Grand Prix,http://en.wikipedia.org/wiki/2003_German_Grand_Prix,Fine,Dry
2003,Hungary,28,13,46.43,120,11,Hungarian Grand Prix,http://en.wikipedia.org/wiki/2003_Hungarian_Grand_Prix,"Warm, dry and sunny, 28 °C (82 °F)",Dry
2003,Italy,5,1,20.0,121,14,Italian Grand Prix,http://en.wikipedia.org/wiki/2003_Italian_Grand_Prix,Sunny,Dry
2003,USA,54,21,38.89,122,19,United States Grand Prix,http://en.wikipedia.org/wiki/2003_United_States_Grand_Prix,Scattered showers with temperatures up to 20.6 °C (69.1 °F);Wind speeds up to 25.93 km/h (16.11 mph)[4],Wet
2003,Japan,19,4,21.05,123,22,Japanese Grand Prix,http://en.wikipedia.org/wiki/2003_Japanese_Grand_Prix,"Cloudy, Air: 22 °C (72 °F), Track 25 °C (77 °F)",Dry
2002,Australia,16,3,18.75,124,1,Australian Grand Prix,http://en.wikipedia.org/wiki/2002_Australian_Grand_Prix,"Cloudy at start, clearing to sunny skies.",Dry
2002,Malaysia,27,7,25.93,125,2,Malaysian Grand Prix,http://en.wikipedia.org/wiki/2002_Malaysian_Grand_Prix,"Partially cloudy, hot, and dry",Dry
2002,Brazil,31,11,35.48,126,18,Brazilian Grand Prix,http://en.wikipedia.org/wiki/2002_Brazilian_Grand_Prix,"Clear, Air Temp: 30°C",Dry
2002,San Marino,6,3,50.0,127,21,San Marino Grand Prix,http://en.wikipedia.org/wiki/2002_San_Marino_Grand_Prix,"Scattered thunderstorms, but remaining dry. Air Temp: 18°C",Wet
2002,Spain,3,2,66.67,128,4,Spanish Grand Prix,http://en.wikipedia.org/wiki/2002_Spanish_Grand_Prix,"Clear, Air Temp: 20°C",Dry
2002,Austria,20,4,20.0,129,70,Austrian Grand Prix,http://en.wikipedia.org/wiki/2002_Austrian_Grand_Prix,"Clear, air temperature: 20°C",Dry
2002,Monaco,10,4,40.0,130,6,Monaco Grand Prix,http://en.wikipedia.org/wiki/2002_Monaco_Grand_Prix,Fine; air temperature 22 °C (72 °F),Dry
2002,Canada,17,5,29.41,131,7,Canadian Grand Prix,http://en.wikipedia.org/wiki/2002_Canadian_Grand_Prix,Mostly fine and humid with temperatures reaching a maximum of 24.1 °C (75.4 °F)Wind speeds up to 8 km/h (5.0 mph)[1],Dry
2002,Europe,25,4,16.0,132,20,European Grand Prix,http://en.wikipedia.org/wiki/2002_European_Grand_Prix,"Mainly Fine, Air Temp: 18°C",Dry
2002,Great Britain,48,10,20.83,133,9,British Grand Prix,http://en.wikipedia.org/wiki/2002_British_Grand_Prix,"Dry/Wet, Air Temp: 21°C",Wet
2002,France,2,0,0.0,134,8,French Grand Prix,http://en.wikipedia.org/wiki/2002_French_Grand_Prix,"Warm and sunny, Air Temp: 25°C",Dry
2002,Germany,24,7,29.17,135,10,German Grand Prix,http://en.wikipedia.org/wiki/2002_German_Grand_Prix,"Fine, Air Temp: 28°C",Dry
2002,Hungary,3,1,33.33,136,11,Hungarian Grand Prix,http://en.wikipedia.org/wiki/2002_Hungarian_Grand_Prix,"Partially cloudy, hot and sunny, Air Temp: 28 °C (82 °F)[4]",Dry
2002,Belgium,6,5,83.33,137,13,Belgian Grand Prix,http://en.wikipedia.org/wiki/2002_Belgian_Grand_Prix,"Cloudy, Air: 17 °C (63 °F), Track 25 °C (77 °F)[1]",Dry
2002,Italy,16,5,31.25,138,14,Italian Grand Prix,http://en.wikipedia.org/wiki/2002_Italian_Grand_Prix,"Sunny, hot, dry 23°C",Dry
2002,USA,19,7,36.84,139,19,United States Grand Prix,http://en.wikipedia.org/wiki/2002_United_States_Grand_Prix,Sunny with temperatures reaching up to 26.7 °C (80.1 °F);Wind speeds approaching a maximum of 18.70 km/h (11.62 mph)[3]Track 34 °C (93 °F),Dry
2002,Japan,1,0,0.0,140,22,Japanese Grand Prix,http://en.wikipedia.org/wiki/2002_Japanese_Grand_Prix,"Sunny, Air: 26 °C (79 °F), Track 30 °C (86 °F)",Dry
2001,Australia,20,4,20.0,141,1,Australian Grand Prix,http://en.wikipedia.org/wiki/2001_Australian_Grand_Prix,"Cloudy, sunny later",Dry
2001,Malaysia,56,21,37.5,142,2,Malaysian Grand Prix,http://en.wikipedia.org/wiki/2001_Malaysian_Grand_Prix,"Rain and Thunderstorms at start, dry later; Air Temp at start: 32 °C (90 °F)",Wet
2001,Brazil,31,13,41.94,143,18,Brazilian Grand Prix,http://en.wikipedia.org/wiki/2001_Brazilian_Grand_Prix,"Dry first, rain and thunderstorms later",Wet
2001,San Marino,8,4,50.0,144,21,San Marino Grand Prix,http://en.wikipedia.org/wiki/2001_San_Marino_Grand_Prix,"Sunny. Air Temp: 14 °C (57 °F), Track 26 °C (79 °F)",Dry
2001,Spain,10,1,10.0,145,4,Spanish Grand Prix,http://en.wikipedia.org/wiki/2001_Spanish_Grand_Prix,"Overcast, Mild, Dry, Air Temp: 18°C",Dry
2001,Austria,18,7,38.89,146,70,Austrian Grand Prix,http://en.wikipedia.org/wiki/2001_Austrian_Grand_Prix,"Sunny, Air: 18 to 19 °C (64 to 66 °F), Track 18 to 32 °C (64 to 90 °F)",Dry
2001,Monaco,7,0,0.0,147,6,Monaco Grand Prix,http://en.wikipedia.org/wiki/2001_Monaco_Grand_Prix,"Warm and Sunny, Air Temp: 23 °C (73 °F), Track 36 to 39 °C (97 to 102 °F)",Dry
2001,Canada,12,4,33.33,148,7,Canadian Grand Prix,http://en.wikipedia.org/wiki/2001_Canadian_Grand_Prix,Sunny,Dry
2001,Europe,7,1,14.29,149,20,European Grand Prix,http://en.wikipedia.org/wiki/2001_European_Grand_Prix,"Sunny, mild, dry, Air Temp: 21°C",Dry
2001,France,8,2,25.0,150,8,French Grand Prix,http://en.wikipedia.org/wiki/2001_French_Grand_Prix,Sunny,Dry
2001,Great Britain,8,5,62.5,151,9,British Grand Prix,http://en.wikipedia.org/wiki/2001_British_Grand_Prix,"Partially cloudy, mild, dry, Air Temp: 16 °C (61 °F), Track 27 °C (81 °F)",Dry
2001,Germany,14,3,21.43,152,10,German Grand Prix,http://en.wikipedia.org/wiki/2001_German_Grand_Prix,"Partially cloudy, very hot, dry",Dry
2001,Hungary,3,1,33.33,153,11,Hungarian Grand Prix,http://en.wikipedia.org/wiki/2001_Hungarian_Grand_Prix,"Hot, dry and partially cloudy",Dry
