Season,Race,Overtakes,TV,Percentage,GP_num,raceId,circuitId,name_x,url,weather
2005,San Marino,9,5,55.56,4,74,21,San Marino Grand Prix,http://en.wikipedia.org/wiki/2005_San_Marino_Grand_Prix,dry
2005,Spain,4,2,50.0,5,75,4,Spanish Grand Prix,http://en.wikipedia.org/wiki/2005_Spanish_Grand_Prix,dry
2005,Monaco,16,8,50.0,6,76,6,Monaco Grand Prix,http://en.wikipedia.org/wiki/2005_Monaco_Grand_Prix,dry
2005,Europe,25,8,32.0,7,77,20,European Grand Prix,http://en.wikipedia.org/wiki/2005_European_Grand_Prix,dry
2005,Canada,11,2,18.18,8,78,7,Canadian Grand Prix,http://en.wikipedia.org/wiki/2005_Canadian_Grand_Prix,dry
2005,USA,0,0,0.0,9,79,19,United States Grand Prix,http://en.wikipedia.org/wiki/2005_United_States_Grand_Prix,dry
2005,France,5,2,40.0,10,80,8,French Grand Prix,http://en.wikipedia.org/wiki/2005_French_Grand_Prix,dry
2005,Great Britain,8,4,50.0,11,81,9,British Grand Prix,http://en.wikipedia.org/wiki/2005_British_Grand_Prix,dry
2005,Germany,18,7,38.89,12,82,10,German Grand Prix,http://en.wikipedia.org/wiki/2005_German_Grand_Prix,dry
2005,Hungary,10,4,40.0,13,83,11,Hungarian Grand Prix,http://en.wikipedia.org/wiki/2005_Hungarian_Grand_Prix,dry
2005,Turkey,30,7,23.33,14,84,5,Turkish Grand Prix,http://en.wikipedia.org/wiki/2005_Turkish_Grand_Prix,dry
2005,Italy,7,3,42.86,15,85,14,Italian Grand Prix,http://en.wikipedia.org/wiki/2005_Italian_Grand_Prix,dry
2005,Belgium,33,7,21.21,16,86,13,Belgian Grand Prix,http://en.wikipedia.org/wiki/2005_Belgian_Grand_Prix,dry
2005,Brazil,6,4,66.67,17,87,18,Brazilian Grand Prix,http://en.wikipedia.org/wiki/2005_Brazilian_Grand_Prix,dry
2005,Japan,15,9,60.0,18,88,22,Japanese Grand Prix,http://en.wikipedia.org/wiki/2005_Japanese_Grand_Prix,wet
2005,China,17,5,29.41,19,89,17,Chinese Grand Prix,http://en.wikipedia.org/wiki/2005_Chinese_Grand_Prix,dry
2004,Australia,10,5,50.0,1,90,1,Australian Grand Prix,http://en.wikipedia.org/wiki/2004_Australian_Grand_Prix,dry
2004,Malaysia,25,9,36.0,2,91,2,Malaysian Grand Prix,http://en.wikipedia.org/wiki/2004_Malaysian_Grand_Prix,wet
2004,Bahrain,22,16,72.73,3,92,3,Bahrain Grand Prix,http://en.wikipedia.org/wiki/2004_Bahrain_Grand_Prix,dry
2004,San Marino,6,0,0.0,4,93,21,San Marino Grand Prix,http://en.wikipedia.org/wiki/2004_San_Marino_Grand_Prix,dry
2004,Spain,7,4,57.14,5,94,4,Spanish Grand Prix,http://en.wikipedia.org/wiki/2004_Spanish_Grand_Prix,dry
2004,Monaco,5,2,40.0,6,95,6,Monaco Grand Prix,http://en.wikipedia.org/wiki/2004_Monaco_Grand_Prix,dry
2004,Europe,13,6,46.15,7,96,20,European Grand Prix,http://en.wikipedia.org/wiki/2004_European_Grand_Prix,dry
2004,Canada,19,2,10.53,8,97,7,Canadian Grand Prix,http://en.wikipedia.org/wiki/2004_Canadian_Grand_Prix,dry
2004,USA,19,10,52.63,9,98,19,United States Grand Prix,http://en.wikipedia.org/wiki/2004_United_States_Grand_Prix,dry
2004,France,15,3,20.0,10,99,8,French Grand Prix,http://en.wikipedia.org/wiki/2004_French_Grand_Prix,dry
2004,Great Britain,15,10,66.67,11,100,9,British Grand Prix,http://en.wikipedia.org/wiki/2004_British_Grand_Prix,dry
2004,Germany,32,15,46.88,12,101,10,German Grand Prix,http://en.wikipedia.org/wiki/2004_German_Grand_Prix,dry
2004,Hungary,5,2,40.0,13,102,11,Hungarian Grand Prix,http://en.wikipedia.org/wiki/2004_Hungarian_Grand_Prix,dry
2004,Belgium,24,14,58.33,14,103,13,Belgian Grand Prix,http://en.wikipedia.org/wiki/2004_Belgian_Grand_Prix,wet
2004,Italy,48,13,27.08,15,104,14,Italian Grand Prix,http://en.wikipedia.org/wiki/2004_Italian_Grand_Prix,wet
2004,China,22,11,50.0,16,105,17,Chinese Grand Prix,http://en.wikipedia.org/wiki/2004_Chinese_Grand_Prix,dry
2004,Japan,30,11,36.67,17,106,22,Japanese Grand Prix,http://en.wikipedia.org/wiki/2004_Japanese_Grand_Prix,wet
2004,Brazil,58,12,20.69,18,107,18,Brazilian Grand Prix,http://en.wikipedia.org/wiki/2004_Brazilian_Grand_Prix,dry
2003,Australia,49,14,28.57,1,108,1,Australian Grand Prix,http://en.wikipedia.org/wiki/2003_Australian_Grand_Prix,wet
2003,Malaysia,21,9,42.86,2,109,2,Malaysian Grand Prix,http://en.wikipedia.org/wiki/2003_Malaysian_Grand_Prix,wet
2003,Brazil,52,22,42.31,3,110,18,Brazilian Grand Prix,http://en.wikipedia.org/wiki/2003_Brazilian_Grand_Prix,wet
2003,San Marino,3,1,33.33,4,111,21,San Marino Grand Prix,http://en.wikipedia.org/wiki/2003_San_Marino_Grand_Prix,dry
2003,Spain,22,9,40.91,5,112,4,Spanish Grand Prix,http://en.wikipedia.org/wiki/2003_Spanish_Grand_Prix,dry
2003,Austria,14,5,35.71,6,113,70,Austrian Grand Prix,http://en.wikipedia.org/wiki/2003_Austrian_Grand_Prix,wet
2003,Monaco,0,0,0.0,7,114,6,Monaco Grand Prix,http://en.wikipedia.org/wiki/2003_Monaco_Grand_Prix,dry
2003,Canada,9,3,33.33,8,115,7,Canadian Grand Prix,http://en.wikipedia.org/wiki/2003_Canadian_Grand_Prix,dry
2003,Europe,9,4,44.44,9,116,20,European Grand Prix,http://en.wikipedia.org/wiki/2003_European_Grand_Prix,dry
2003,France,10,3,30.0,10,117,8,French Grand Prix,http://en.wikipedia.org/wiki/2003_French_Grand_Prix,dry
2003,Great Britain,51,29,56.86,11,118,9,British Grand Prix,http://en.wikipedia.org/wiki/2003_British_Grand_Prix,dry
2003,Germany,11,8,72.73,12,119,10,German Grand Prix,http://en.wikipedia.org/wiki/2003_German_Grand_Prix,dry
2003,Hungary,28,13,46.43,13,120,11,Hungarian Grand Prix,http://en.wikipedia.org/wiki/2003_Hungarian_Grand_Prix,dry
2003,Italy,5,1,20.0,14,121,14,Italian Grand Prix,http://en.wikipedia.org/wiki/2003_Italian_Grand_Prix,dry
2003,USA,54,21,38.89,15,122,19,United States Grand Prix,http://en.wikipedia.org/wiki/2003_United_States_Grand_Prix,wet
2003,Japan,19,4,21.05,16,123,22,Japanese Grand Prix,http://en.wikipedia.org/wiki/2003_Japanese_Grand_Prix,dry
2002,Australia,16,3,18.75,1,124,1,Australian Grand Prix,http://en.wikipedia.org/wiki/2002_Australian_Grand_Prix,wet
2002,Malaysia,27,7,25.93,2,125,2,Malaysian Grand Prix,http://en.wikipedia.org/wiki/2002_Malaysian_Grand_Prix,dry
2002,Brazil,31,11,35.48,3,126,18,Brazilian Grand Prix,http://en.wikipedia.org/wiki/2002_Brazilian_Grand_Prix,dry
